file,status,surface_id,grammar,notes,lighting,angle_deg,distance,medium,printer,paper,image_shape,top_sheet,top_aggregate,target_sheet,verdict,aggregate,coverage,renormalised,agr_cascade_ratio,agr_duty,agr_phase_duty_identity,agr_colour_pair,ink_agreement_absolute,ink_agreement_relationship,ink_mean_delta_e_absolute,ink_mean_delta_e_relationship,ink_correction_gain_b,ink_correction_gain_g,ink_correction_gain_r,ink_implied_applied_gain_b,ink_implied_applied_gain_g,ink_implied_applied_gain_r,ink_gain_in_bounds,ink_relationship_applicable,ink_n_inks,ink_n_clipped_inks,ink_gain_fallback_channels,ink_rank_correlation,error
IMG_2263.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0524,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2264.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0434,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2265.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.0,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2266.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 100%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0797,bar-cascade-001,not_recognised,0.0566,1.0,0.0566,0.0,0.2882,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2267.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0042,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2268.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0226,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2269.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,30,far_2m,screen,none,screen,5712x4284x3,bar-cascade-001,0.2263,bar-cascade-001,not_recognised,0.2263,1.0,0.2263,0.7557,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2270.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 75%, dark room with warm lamp; framing estimated from image",normal_room,60,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.0,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2271.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,0,fills_frame,screen,none,screen,5712x4284x3,bar-cascade-001,0.1816,bar-cascade-001,not_recognised,0.1816,1.0,0.1816,0.0,0.9092,0.0,0.0,,,,,,,,,,,,,,,,,
IMG_2272.jpg,ok,001-s0,bar-cascade-001,"Apple Studio Display, TrueTone on, brightness 25%, dark room with warm lamp; framing estimated from image",normal_room,30,fills_frame,screen,none,screen,5712x4284x3,iso-002,0.0493,bar-cascade-001,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
